mean_kernel_sigma3_theta0.0_lambd1_gamma0.05_phi0.0,std_kernel_sigma3_theta0.0_lambd1_gamma0.05_phi0.0,mean_kernel_sigma3_theta0.0_lambd3_gamma0.05_phi0.0,std_kernel_sigma3_theta0.0_lambd3_gamma0.05_phi0.0,mean_kernel_sigma3_theta20.0_lambd1_gamma0.05_phi0.0,std_kernel_sigma3_theta20.0_lambd1_gamma0.05_phi0.0,mean_kernel_sigma3_theta20.0_lambd3_gamma0.05_phi0.0,std_kernel_sigma3_theta20.0_lambd3_gamma0.05_phi0.0,mean_kernel_sigma3_theta40.0_lambd1_gamma0.05_phi0.0,std_kernel_sigma3_theta40.0_lambd1_gamma0.05_phi0.0,mean_kernel_sigma3_theta40.0_lambd3_gamma0.05_phi0.0,std_kernel_sigma3_theta40.0_lambd3_gamma0.05_phi0.0,mean_kernel_sigma3_theta60.0_lambd1_gamma0.05_phi0.0,std_kernel_sigma3_theta60.0_lambd1_gamma0.05_phi0.0,mean_kernel_sigma3_theta60.0_lambd3_gamma0.05_phi0.0,std_kernel_sigma3_theta60.0_lambd3_gamma0.05_phi0.0,mean_kernel_sigma3_theta80.0_lambd1_gamma0.05_phi0.0,std_kernel_sigma3_theta80.0_lambd1_gamma0.05_phi0.0,mean_kernel_sigma3_theta80.0_lambd3_gamma0.05_phi0.0,std_kernel_sigma3_theta80.0_lambd3_gamma0.05_phi0.0,mean_kernel_sigma3_theta100.0_lambd1_gamma0.05_phi0.0,std_kernel_sigma3_theta100.0_lambd1_gamma0.05_phi0.0,mean_kernel_sigma3_theta100.0_lambd3_gamma0.05_phi0.0,std_kernel_sigma3_theta100.0_lambd3_gamma0.05_phi0.0,mean_kernel_sigma3_theta120.0_lambd1_gamma0.05_phi0.0,std_kernel_sigma3_theta120.0_lambd1_gamma0.05_phi0.0,mean_kernel_sigma3_theta120.0_lambd3_gamma0.05_phi0.0,std_kernel_sigma3_theta120.0_lambd3_gamma0.05_phi0.0,mean_kernel_sigma3_theta140.0_lambd1_gamma0.05_phi0.0,std_kernel_sigma3_theta140.0_lambd1_gamma0.05_phi0.0,mean_kernel_sigma3_theta140.0_lambd3_gamma0.05_phi0.0,std_kernel_sigma3_theta140.0_lambd3_gamma0.05_phi0.0,mean_kernel_sigma3_theta160.0_lambd1_gamma0.05_phi0.0,std_kernel_sigma3_theta160.0_lambd1_gamma0.05_phi0.0,mean_kernel_sigma3_theta160.0_lambd3_gamma0.05_phi0.0,std_kernel_sigma3_theta160.0_lambd3_gamma0.05_phi0.0,label
101.87593308230942,82.73080725225721,61.065001981767736,45.55687370143684,106.40393380895759,84.6065048032551,73.17242205046902,50.58321740265803,126.20062921125644,69.35100587152414,51.434973246135556,41.91880842952504,149.83028636543798,77.7777087926542,70.4229505218655,66.6325523999529,109.4050072664817,85.11486293835065,132.55767769850706,81.23993169735239,109.43056381292112,85.35134858940647,132.4216871449333,81.23971470012327,148.842482494385,77.95164169084605,71.48011626370723,67.76619999677274,125.68177764565993,69.52222826435275,52.3100145329634,43.67126125313544,106.37495871317215,85.32212857025831,73.78879310344827,51.37940803865201,flavigenum
105.88347556384238,82.04407070362278,69.71367743554806,43.578188099011605,91.02478575782567,86.28403985863764,85.33107139015382,50.18600397861717,117.77916920649719,60.83165444740636,59.88613790383305,41.19678705623544,145.26420811072467,70.16530508549212,55.67453117716663,67.38028873674848,112.96488759008928,84.41310035090976,156.54980458245186,83.21249369456345,112.9889293269748,84.47521842285465,156.00475994119546,83.3927932077135,145.81267704112733,69.94435755044125,54.950679479364624,66.53798481199594,117.6424396715551,60.80072300654348,59.205376671806086,40.06273022441308,91.13404030262828,86.40949286984771,85.65648642834093,50.29366940684914,neoechinulatum
95.362576,84.16592689826582,55.956616,47.61344715338876,94.752364,90.95582809480383,67.348204,54.24878975584971,118.166724,76.0512942631999,51.24112,50.471321016450524,138.790292,85.46591495183758,83.035536,80.77653650159002,100.624184,86.33716026331966,118.613504,87.13045670052456,100.573096,86.39427115830532,117.606572,86.88289195468126,139.261124,85.3867920597596,84.46008,81.42057920694006,118.474372,76.1426338341774,53.261652,53.36314801650008,94.826316,91.3710955930164,67.358304,54.598964699374875,venetum
87.43511100429062,84.76376703266135,56.54732592711282,47.21193243474815,77.12667574640817,81.76003760861563,69.15043885417224,55.12896616761662,99.18310812013745,72.00130281897866,48.168389147038404,43.23513200908669,121.94253502821842,84.80129997600267,53.44861044348306,69.0026978630511,91.28072869376346,86.5997116715512,125.62595025725935,94.03246173553933,91.23628691983123,86.59966504023406,125.63901796364543,93.92959438909323,122.00034271573288,84.82484083614561,53.94152468443448,69.25559677860929,99.1365655432712,71.92172327269492,47.92776709572896,43.228851498312004,76.82768520002136,81.80115693063081,69.06298848119069,55.195402187418416,hirsutum
105.89033057851239,81.70289786164753,73.9968044077135,47.17540534531041,120.3404958677686,93.39183902290938,90.02664830119376,53.83784436972383,112.35136822773187,62.35734465171084,63.21425160697888,43.194587488016666,142.37401285583104,69.45303309318987,97.78337924701562,101.27089565090289,114.83902662993572,84.18610010145511,151.66671258034896,97.02461864811316,114.52706152433426,84.15862156404437,146.69402203856748,97.8638889827864,142.05580348943985,69.31272658661231,98.28751147842057,101.17088227249184,112.63730027548209,62.69687875019262,63.405436179981635,43.4031369529135,122.3891551882461,92.49438366749679,90.3242883379247,54.09743673008311,freii
109.0416257088847,81.14723116362889,83.15062381852552,51.663814350291986,127.88718336483932,86.91618441703858,100.72701323251418,58.07835441351345,108.82500945179584,58.56987088327466,74.42232514177694,52.29406235094577,138.0279584120983,68.23069003987678,117.95088846880907,100.38505548633782,118.62459357277883,83.666001953415,132.81077504725897,98.88873756388865,118.31081285444235,83.38326791931631,130.53347826086957,98.08169232231403,139.07610586011342,67.89677609516771,115.48336483931946,99.00024406235393,109.0247258979206,58.752859988871506,73.83890359168242,52.62168526959806,127.7957088846881,85.47176577848052,100.96805293005671,59.413356401513184,entromorphobium
91.99609022895258,84.51702382985037,53.477281263145244,47.521968413313246,95.69536836728562,92.01718901169707,65.31836277867916,55.36608976374486,113.36968180998738,77.65189033484423,49.165630070308275,50.1941907482911,133.1539871401959,87.72181659839514,79.94706598161169,80.99238838278417,96.51033591731266,86.49601234141271,116.28630716303107,88.63475482354204,96.65458806562106,86.55310757040682,116.08922615828375,88.53781566200105,133.47849438134728,87.77343278860629,80.67721666366204,81.53465810221817,113.17065906496003,77.70268527100413,51.827459287302446,53.93116865334262,96.69233369388859,92.77125339036826,66.1390541433808,56.25832883271445,venetum
83.0414347073664,84.81723186983415,53.93629719980818,51.24378981394661,94.60411584412336,88.85168014133464,64.19738433310398,57.83277315138691,95.9310846312629,76.49427219037887,46.43488980630095,48.01234230267099,117.16990888430183,88.83525861769299,77.60586726715457,83.18776398254272,88.35994349575697,88.16269562936985,97.7376462125477,90.81288757193022,88.25078709785033,88.05173606483723,96.91270511457226,89.92624833991482,116.84001584620837,88.82241210889202,77.52298221471612,82.573901993429,96.86689706219637,76.78037711553907,46.94682658826964,49.3126326230196,94.80821396551364,88.2459860350256,63.647578240653864,57.56085321790547,flavigenum
76.13388542746195,84.31781737383248,43.84898987376543,45.482628594598616,90.87294447427237,89.74278749021104,52.833582015008304,52.24069213590481,95.22282086179126,81.81294936678933,37.551979672614216,42.17515784618072,113.0046292249872,94.22552924708798,64.8275012798262,69.47135297250182,80.2289983643197,87.11527689662329,89.58523642447777,83.14212806886954,80.49599195894567,87.24449773847465,88.10417160908489,81.9743035882529,112.38321117756496,94.09161846032106,65.07693628338474,68.99028853357665,96.01877286518747,82.06787409476202,36.885851989661504,41.426519213378185,91.619101874165,89.91161978735144,51.83174655695539,51.13936230210399,harmonense
105.53577430762228,81.50559400122526,82.82445467595673,49.478999498726374,133.74675256468612,84.7264320272558,100.89965337348131,56.6566976396993,99.66581177129652,57.89674217688856,70.41658205244914,44.52205426073792,133.6345190994713,65.70285093170004,139.23934736178705,104.34797207414218,112.34155841882287,84.48724941651146,120.24690136899969,107.61599532415521,112.13698750043766,84.31582562964675,119.05918910402296,107.53331547253399,133.7915951822415,65.52697500541512,139.06592031091347,104.30679265225876,99.50247715416127,57.80724223498258,70.33215748748293,44.62812182024162,133.0835404922797,84.50325517743667,100.46679037848814,56.436722190359546,freii
68.41722602543811,82.8237009568363,36.93380656356668,45.38672720214367,92.84849640548425,98.56544182729085,45.77654411624492,53.50173623335071,88.6806601704773,86.10555875460051,32.42403844320284,43.26849139206691,102.32017410041762,97.46395965193067,65.85651970786216,72.33947175441511,74.12400125855723,87.72635715259914,71.939069621098,75.97477838539874,74.00128239354703,87.66230609598271,71.76013043229534,75.76456063496053,102.72018077458478,97.6223030393087,65.71921778760893,72.34624285169919,88.5338666310711,86.1168162726836,33.77371236246449,46.15745940925943,92.7004347743178,98.56287640513175,46.284567418622835,54.43936371963312,mononematosum
104.12166666666667,80.10694710822527,90.4925,71.52429229425793,132.21055555555554,80.7613569565862,112.19333333333333,73.45018236116837,115.37833333333333,72.9525620409135,84.5963888888889,67.83077094475543,135.64416666666668,76.10568159820775,143.17361111111111,92.7359490600651,119.32027777777778,92.0902662845932,128.29,97.79507661999715,119.81555555555556,92.36797113371077,128.40416666666667,97.04880063587139,136.21777777777777,77.0131216493192,142.62666666666667,90.09913404442662,120.29833333333333,72.30356835746228,80.08166666666666,67.61889526768552,133.30444444444444,81.30455489647292,105.40805555555555,72.84919653028456,Eupenicillium tularense
87.19724872945501,84.39110506860418,70.01994688040658,52.10269308330084,139.0603407493512,100.31803832668335,85.2360341425173,61.03739499132223,80.05965816933391,58.773583452821285,59.28147977941177,45.86343726608368,109.78304092776817,75.3711805557494,116.79431363538062,118.19063428300804,98.78129054930795,87.86646012476533,146.57311716046712,112.6391944819925,98.79986213235294,87.88656523657926,145.6516510326557,112.61937072207738,109.17102684364187,75.18995131836137,116.97332869269032,117.98142916754965,80.82518855428201,59.07251211227555,59.10395490916955,45.71300976198894,138.951178633218,100.19548951621373,83.97181485185986,60.34173961981439,Eupenicillium egyptiacum
105.54898954028926,82.25879213162361,69.2704432463843,42.115491108075055,58.2864152892562,59.39676618860052,84.46089714617769,47.496866617463866,118.05145112345042,59.210387637554255,58.68928363894628,38.49592968058601,146.7428412319215,69.06557299536,47.224415676652896,51.4470313583749,111.94223753873968,87.34037884883064,156.88251388171489,79.07929361150198,111.64631488894628,87.3353971919247,156.80183852014463,79.30027319344016,147.14477337293388,68.90131984522714,47.67102756973141,52.47749002090076,118.06078899793388,59.2839481104402,58.76547972623967,38.63596855056657,58.67937274018595,59.38447927816734,84.46686951188016,47.45850273163718,nalgiovense
97.47875958728999,83.3055639165305,75.34126186997808,52.94179548575037,143.99377967494522,95.92063876903164,90.33316974068663,59.70008450165994,97.2591649926954,63.160499888183764,63.87439508765522,48.06718180188346,126.39022552958363,74.00065026936453,123.29398739956173,113.04772514529004,106.30560628195764,81.19486561998438,157.8634838385683,103.65576458900156,107.11704483199415,81.37323664503428,159.41057569393718,103.40724917917542,125.59484569028488,73.91097975365066,123.0316380569759,112.85643328221198,97.36053917092768,63.09751397057864,64.92705670197225,49.17754526241771,143.2714230277575,95.99769209666194,90.58730140613586,59.66061893794223,radicicola
