mean_kernel_sigma3_theta0.0_lambd1_gamma0.05_phi0.0,std_kernel_sigma3_theta0.0_lambd1_gamma0.05_phi0.0,mean_kernel_sigma3_theta0.0_lambd3_gamma0.05_phi0.0,std_kernel_sigma3_theta0.0_lambd3_gamma0.05_phi0.0,mean_kernel_sigma3_theta20.0_lambd1_gamma0.05_phi0.0,std_kernel_sigma3_theta20.0_lambd1_gamma0.05_phi0.0,mean_kernel_sigma3_theta20.0_lambd3_gamma0.05_phi0.0,std_kernel_sigma3_theta20.0_lambd3_gamma0.05_phi0.0,mean_kernel_sigma3_theta40.0_lambd1_gamma0.05_phi0.0,std_kernel_sigma3_theta40.0_lambd1_gamma0.05_phi0.0,mean_kernel_sigma3_theta40.0_lambd3_gamma0.05_phi0.0,std_kernel_sigma3_theta40.0_lambd3_gamma0.05_phi0.0,mean_kernel_sigma3_theta60.0_lambd1_gamma0.05_phi0.0,std_kernel_sigma3_theta60.0_lambd1_gamma0.05_phi0.0,mean_kernel_sigma3_theta60.0_lambd3_gamma0.05_phi0.0,std_kernel_sigma3_theta60.0_lambd3_gamma0.05_phi0.0,mean_kernel_sigma3_theta80.0_lambd1_gamma0.05_phi0.0,std_kernel_sigma3_theta80.0_lambd1_gamma0.05_phi0.0,mean_kernel_sigma3_theta80.0_lambd3_gamma0.05_phi0.0,std_kernel_sigma3_theta80.0_lambd3_gamma0.05_phi0.0,mean_kernel_sigma3_theta100.0_lambd1_gamma0.05_phi0.0,std_kernel_sigma3_theta100.0_lambd1_gamma0.05_phi0.0,mean_kernel_sigma3_theta100.0_lambd3_gamma0.05_phi0.0,std_kernel_sigma3_theta100.0_lambd3_gamma0.05_phi0.0,mean_kernel_sigma3_theta120.0_lambd1_gamma0.05_phi0.0,std_kernel_sigma3_theta120.0_lambd1_gamma0.05_phi0.0,mean_kernel_sigma3_theta120.0_lambd3_gamma0.05_phi0.0,std_kernel_sigma3_theta120.0_lambd3_gamma0.05_phi0.0,mean_kernel_sigma3_theta140.0_lambd1_gamma0.05_phi0.0,std_kernel_sigma3_theta140.0_lambd1_gamma0.05_phi0.0,mean_kernel_sigma3_theta140.0_lambd3_gamma0.05_phi0.0,std_kernel_sigma3_theta140.0_lambd3_gamma0.05_phi0.0,mean_kernel_sigma3_theta160.0_lambd1_gamma0.05_phi0.0,std_kernel_sigma3_theta160.0_lambd1_gamma0.05_phi0.0,mean_kernel_sigma3_theta160.0_lambd3_gamma0.05_phi0.0,std_kernel_sigma3_theta160.0_lambd3_gamma0.05_phi0.0,label
107.51978630787495,81.54891042079419,84.28287353722652,67.60397979980432,110.00500310927696,79.32823776053324,95.7753688733111,69.86886027611628,120.35228107863644,65.62063609688899,82.5399683419074,71.01714692249915,147.17878342472724,73.70635603894198,104.8572841879134,85.86766853232047,117.72429193283962,83.98171851482493,125.27346090790887,86.60759190765506,117.14434111594777,83.95241314017521,123.90009327830856,85.92899509459798,146.33643789925944,74.13999932882258,105.83618350387246,85.05322913601367,120.46829950816893,66.2503039560093,86.01734128554469,73.54703240057583,108.56306178981288,79.65329250491048,96.57213522528124,71.1152839521301,flavigenum
106.83713329081633,79.26314670543162,79.18205915178571,54.75906394285469,108.99099170918367,75.23199661644382,96.92229352678571,62.118053281603345,114.37173150510205,64.47631350247343,71.87306680484694,55.82079494246397,143.4727160395408,70.55011248959626,115.89584661989795,84.50812741281669,117.02951610331633,81.80032758056758,107.34363042091837,84.8546073647697,117.43221859056122,81.47500970079298,109.16378348214286,85.317778022628,145.27204241071428,69.73479345798842,117.42075892857143,85.22340896219954,114.44385762117346,64.62675038690686,72.51502710459184,56.669019786148255,108.59528459821429,75.61039853720544,96.7940449617347,62.180976875062115,neoechinulatum
106.37773877551021,82.22445784874179,78.92571428571429,72.47156154418822,115.00608163265306,79.3983504927711,93.37211428571429,76.83866828103716,130.06978775510203,83.45542632286089,82.9663918367347,76.81999477363934,135.5824,85.8962401711863,130.99447346938774,88.49134191516848,113.37414693877551,84.10067973824916,85.66377142857142,81.78829852025015,113.13447346938776,84.0167996717925,85.9912,81.95451832315537,135.21994285714285,85.95720563541951,129.66915918367346,88.09629627756004,128.91349387755102,83.66103583324067,86.04625306122449,77.75352496400274,114.14061224489797,79.31065260071745,95.16115918367348,77.88049937448757,venetum
101.40624597387205,82.7722763142856,59.93042850885104,43.591224231342906,84.41979953103662,80.39739017519418,73.57041536756938,51.154210467323644,123.2053905022031,70.4551360680253,51.262793424205725,40.92948143582952,147.86414233811746,78.01231364288881,67.77709423071968,73.95396829358123,108.6911347883223,85.59131015431369,136.52583807879614,85.9408904108811,108.57794583730578,85.65383606505,136.40472570795433,85.99684899690278,148.16914246695353,77.95422364910385,67.53780695199568,73.72286766794574,123.11852920714267,70.43267210129606,51.06152567703368,40.734972183298666,85.04078950758844,80.26106170157115,73.76655543817157,51.358101958963665,hirsutum
105.74886640755982,81.94756907187642,66.24738987959152,52.21913017332618,113.95196044810243,76.33690554079087,80.85223289132755,59.66102471427255,125.8455361225423,70.17658871967753,63.65869341563786,58.11105081265288,151.68607110196618,75.85508774330938,109.57006363359244,83.19265083691522,112.43072702331962,83.51029029794667,111.08322854747752,82.77209612111304,112.38177297668038,83.63717212556135,111.23455837524767,82.75303654509229,150.98238645023625,76.00283571009264,110.02563443072702,83.61012331524762,125.80791800030484,70.41779001564433,67.47563252552965,62.48663183264441,114.45057918000305,76.38476604442074,81.40573083371437,60.90176162140347,freii
108.12358223062382,78.9674169132688,88.19284617202268,56.70447256595749,108.23242556710775,77.84677889458965,105.80142367674858,62.867258392533394,108.3335597826087,62.01944604729393,78.28665524574669,56.072729229295426,139.77457466918713,67.89324154998809,122.92001417769376,89.57429964609629,118.38297495274102,80.21214898822026,110.19231450850661,89.97063767646941,117.97823133270322,79.95028268084518,106.9694588846881,88.80001027478382,140.00921550094517,67.91842958063924,124.3336188563327,88.17684155596486,108.51382325141778,62.168348681795564,80.58654300567107,59.85596498146233,107.63262051039698,77.62896317188822,105.82540760869566,63.82409492405647,entromorphobium
106.0939389889405,81.91565862206161,77.951694009155,72.65423334370126,113.69788499448696,80.10055999713981,91.70097564235357,76.99966411375638,130.92178154966754,84.46650773068009,80.38671522603495,76.36449583628536,136.96500050118615,86.36000422870958,132.7255588225467,87.61069971237707,114.20005680109593,83.69688776779907,83.27939456714223,80.46859263195827,114.09596879280964,83.73075125099776,84.85966788065087,81.60655474476049,137.1868923118046,86.18267436216112,131.33166828159978,88.38616290160431,129.78326205352667,84.71146776989889,84.01494370009021,77.46520983352966,114.81855391092252,79.18666188271912,94.26460122289419,78.28979489428394,venetum
108.30723465856931,81.1000669327334,83.3896970552927,59.77391700104124,110.3490043076054,83.80758041377375,99.59206623826,64.8588477429609,113.91907351175765,61.24176884851062,76.96613939693525,61.93061166532667,144.5325718522703,69.69652619863787,108.49496857566557,91.65850019254161,120.15104865475602,83.24171470276688,130.44995056846267,92.09629956353324,119.9830873525881,83.52433300819852,130.2550490784549,91.65301868121838,144.16693736318058,69.74304268810458,111.87417908339806,91.41032283150368,113.5073088058753,62.027428147827436,80.38598968999365,65.78618843515147,108.37767459925146,84.04601898003573,99.84755666972671,66.00147606214003,flavigenum
105.17121516805516,81.89489244197833,71.85020268760573,58.10113002349538,111.76239267132688,78.46382953081375,83.93360783938205,61.808884070935555,123.6367502952536,67.27139566009839,69.84920520923106,63.923663677296446,149.84083437071084,74.46621808628977,98.12927319735708,81.19443755235153,112.51737208337323,84.19284670721088,125.70472246161704,82.88497458225407,112.37644035877302,84.17678742435031,124.7882712502793,82.93843891714768,149.56342366497495,74.53275774872573,100.82971049187654,81.9418500409575,123.5924861948993,67.82487082153757,75.16503878195921,68.66364236191794,111.73682530562738,77.97919895818417,86.8150834689904,65.62882700533676,polonicum
98.98602526202633,83.21950103311066,63.03747499178835,50.34984448956307,119.85285466869719,86.79437495587385,75.92865567798381,57.09046181665732,116.6195541819702,72.73241730074687,54.49010122726865,48.4510869075763,141.9957000806235,80.47443421991278,102.17975305324136,88.56565484530582,106.4721998268088,86.70108207798073,114.02700886858372,90.27143708297615,106.40548389023262,86.63960405874674,113.48052345546299,89.68690975983907,142.59283645376092,80.13491678920745,102.22176684881603,88.79064741874141,116.95854608976082,72.83045517405651,55.35245155125563,49.656437275083476,119.53675833855893,86.17194995967104,76.2257830929559,57.61102257114817,harmonense
