mean_kernel_sigma3_theta0.0_lambd1_gamma0.05_phi0.0,std_kernel_sigma3_theta0.0_lambd1_gamma0.05_phi0.0,mean_kernel_sigma3_theta0.0_lambd3_gamma0.05_phi0.0,std_kernel_sigma3_theta0.0_lambd3_gamma0.05_phi0.0,mean_kernel_sigma3_theta20.0_lambd1_gamma0.05_phi0.0,std_kernel_sigma3_theta20.0_lambd1_gamma0.05_phi0.0,mean_kernel_sigma3_theta20.0_lambd3_gamma0.05_phi0.0,std_kernel_sigma3_theta20.0_lambd3_gamma0.05_phi0.0,mean_kernel_sigma3_theta40.0_lambd1_gamma0.05_phi0.0,std_kernel_sigma3_theta40.0_lambd1_gamma0.05_phi0.0,mean_kernel_sigma3_theta40.0_lambd3_gamma0.05_phi0.0,std_kernel_sigma3_theta40.0_lambd3_gamma0.05_phi0.0,mean_kernel_sigma3_theta60.0_lambd1_gamma0.05_phi0.0,std_kernel_sigma3_theta60.0_lambd1_gamma0.05_phi0.0,mean_kernel_sigma3_theta60.0_lambd3_gamma0.05_phi0.0,std_kernel_sigma3_theta60.0_lambd3_gamma0.05_phi0.0,mean_kernel_sigma3_theta80.0_lambd1_gamma0.05_phi0.0,std_kernel_sigma3_theta80.0_lambd1_gamma0.05_phi0.0,mean_kernel_sigma3_theta80.0_lambd3_gamma0.05_phi0.0,std_kernel_sigma3_theta80.0_lambd3_gamma0.05_phi0.0,mean_kernel_sigma3_theta100.0_lambd1_gamma0.05_phi0.0,std_kernel_sigma3_theta100.0_lambd1_gamma0.05_phi0.0,mean_kernel_sigma3_theta100.0_lambd3_gamma0.05_phi0.0,std_kernel_sigma3_theta100.0_lambd3_gamma0.05_phi0.0,mean_kernel_sigma3_theta120.0_lambd1_gamma0.05_phi0.0,std_kernel_sigma3_theta120.0_lambd1_gamma0.05_phi0.0,mean_kernel_sigma3_theta120.0_lambd3_gamma0.05_phi0.0,std_kernel_sigma3_theta120.0_lambd3_gamma0.05_phi0.0,mean_kernel_sigma3_theta140.0_lambd1_gamma0.05_phi0.0,std_kernel_sigma3_theta140.0_lambd1_gamma0.05_phi0.0,mean_kernel_sigma3_theta140.0_lambd3_gamma0.05_phi0.0,std_kernel_sigma3_theta140.0_lambd3_gamma0.05_phi0.0,mean_kernel_sigma3_theta160.0_lambd1_gamma0.05_phi0.0,std_kernel_sigma3_theta160.0_lambd1_gamma0.05_phi0.0,mean_kernel_sigma3_theta160.0_lambd3_gamma0.05_phi0.0,std_kernel_sigma3_theta160.0_lambd3_gamma0.05_phi0.0,label
104.8480365788058,81.98939478636268,66.25702968360311,47.74422125461974,112.40536212039709,79.42332116291217,79.4480903711673,52.67928277770816,125.01575871680767,65.55522846021513,57.62724338598464,47.552873642018255,151.79487994522958,72.99344970700197,86.77119908063965,78.98487842610278,111.72570785857499,84.55286946707126,137.0737566629175,82.8337594732395,111.52622377622377,84.49351195157008,136.53193310186316,82.9062499211506,152.03756907428237,72.90520054693307,88.45667269793144,79.60352367862505,124.87647317717247,65.68782058460265,57.858782825566045,48.604472635140084,112.88439532495477,79.41576893628256,79.26528192087633,52.76037114870237,flavigenum
107.36544029376456,81.34178794508183,92.7104900783843,53.41492733000105,112.58646988207047,65.3037942429095,113.46815196666903,60.32142612709137,92.04464727067298,57.483672239126044,78.4876421156698,47.346149093741474,130.36800014123295,62.87940052681097,163.24698114539933,83.4631173370225,120.3651048654756,81.81304139580239,56.45593531530259,77.54055832994366,120.211302167926,81.67378026266731,56.08343337334934,77.45006314951284,130.23254007485346,62.85771173603035,163.42963067579973,83.70512756848386,91.84690346726926,57.498354819199456,78.38436551091024,47.4603647543944,112.65929312901632,65.52143165491758,113.32031636183885,60.36242758542401,neoechinulatum
104.819243335561,82.22701173643732,68.21854038266379,50.86556767752827,121.65141333135318,82.10365332179136,82.18719214870919,57.418456209237085,119.64697655998614,67.55149489715014,63.07015296651073,54.9281636663488,146.54523402886068,74.61772092972237,106.13564639489121,84.78245958438575,109.16001460359892,84.0856717605954,116.28488156233756,86.20223700176676,109.55501101457885,84.11172109995066,116.4323160317814,86.37554264474294,146.49027870597263,74.57068945867714,106.09391475458528,84.84394416726764,119.66589317096111,67.81305362638501,67.41097373827381,60.461942431842594,122.24001881141555,82.26614279567625,83.3455050617559,59.405269552649834,venetum
99.56177395405712,83.289073933496,57.795691763472796,46.6653882574547,104.87628286313215,88.30680744808102,69.95505611843829,52.75460325470605,124.31020722333828,72.07328195404364,53.69013123416892,51.512266321055854,146.01765983928726,81.66281894783285,77.03968687221591,70.93879298204263,106.02293322560922,85.46139239966544,126.41266158616473,80.27480773249599,106.0031771333741,85.37208051313301,126.09213140885667,80.70581784257854,145.87504913092846,81.65303386486791,78.77536247707224,72.69495047497136,124.33399205170757,72.3130909704484,56.28368743995109,55.49475472379275,105.27879618307276,87.82515607109633,70.68652829941479,54.349429654100014,hirsutum
107.37639175849404,81.29167903185454,72.8706955922865,49.97442997296847,115.81453741965106,78.36254242571462,88.05839646464646,55.448545110045735,119.40625,63.377764545313454,64.67077020202021,50.80648275491636,148.7677198117539,69.87636750141856,104.91912017906336,88.6934286875968,116.6997962580349,84.83796706972737,128.93432908631772,89.41664022437952,116.77274162075298,84.76417190954326,128.15256255739212,89.52819855030262,149.02343032598714,69.84068154029197,106.06799529384757,89.00047322325455,119.47154786501378,63.790453951318746,66.98173496326905,54.246672445137754,115.65154384756657,78.19536907922127,88.68574954086317,56.75442019371676,freii
107.3162970975302,81.58634702894095,76.80783907217115,49.823225315771325,100.4873054503936,84.31385809678036,93.5952316567514,55.75867812623386,113.77191875488252,59.669696723101175,66.50630971696413,49.190526480285925,144.8947178655129,67.74116204270312,94.75028543957694,92.87959184494636,117.4011778138333,83.95690786515091,143.20856619193557,92.41992438573781,117.34362418123911,83.97769477199964,142.7046151072652,92.41417199802285,145.17871522144102,67.7721427844493,97.8392524487711,92.72043346178496,113.73705005708791,59.525091625869536,68.9686767622138,53.482271544455294,102.2688390120786,86.04995751584332,93.6309867195481,56.69932368550554,entromorphobium
104.40250446162999,82.63826720890889,68.80005353955978,51.77340924466627,121.13073170731707,82.19594575254828,82.98958358120167,58.3639947907005,117.72241522903033,67.07190931582888,63.72243307555027,55.37599552565443,144.79845925044617,74.88921744785485,102.94873289708507,84.7334301389123,109.43559785841761,84.32998813802831,117.9838251041047,86.97370232442104,109.2108744794765,84.20318140076314,117.56219512195122,86.77993517523761,145.11561570493754,74.85078481989697,103.35797144556811,84.76762553882209,117.6040749553837,67.28906708912157,67.97607376561571,60.62669379904764,121.5561986912552,81.97330546216615,84.11688875669245,60.34908573487436,venetum
105.210087890625,81.93423438019566,63.96701171875,46.95783665685686,118.458583984375,77.40987201070449,76.611416015625,51.60420442751213,128.383271484375,66.19261553236993,55.342861328125,46.372849668141505,153.9798046875,73.55042994091268,88.16158203125,74.85108683139428,113.39787109375,84.47581164617633,132.68423828125,79.18611557593745,113.332060546875,84.66560025566808,133.08130859375,78.86816649185894,153.407060546875,73.83672148994057,87.919892578125,74.36575598270406,128.464482421875,66.10738429277696,56.58986328125,48.506208635113744,117.5697265625,79.02502558972367,76.67322265625,51.84136723884327,flavigenum
103.38409423828125,82.60287914803801,65.32821316189236,47.94848527935305,110.85480414496527,75.4883562242128,79.10962592230902,54.36710192286255,119.63760036892361,66.54529326579237,58.399685329861114,49.72200115632439,145.90352376302084,75.0534027328551,91.62857394748264,78.33234223588173,109.12468126085069,85.17811218852114,122.45645480685764,82.8770617043452,109.28371175130208,85.18445896173517,121.31938340928819,82.7392511988934,146.04827202690973,75.06797476621786,92.65490044487848,79.26226238633095,119.69125705295139,66.9104649727263,62.039835611979164,55.1952358926996,110.64926486545139,74.52967004390426,79.32770453559027,55.347762385078376,polonicum
97.63467721193416,83.6031510576243,63.470920138888886,44.73737295746522,87.647001457476,88.08815126614051,75.49782986111111,50.434817218864154,111.97843792866941,67.48735724532216,53.527901020233195,41.16583717775476,137.7259462877229,78.008962472059,54.96705139746228,67.22490733780006,102.16359096364883,85.78192678958618,141.27958354766804,88.14764783455757,102.07008209019205,85.7646630643178,141.26300475823047,88.34324031674079,137.70938893175583,78.03807968923826,55.90599279835391,68.41015081909386,111.95386981310014,67.56314386811025,53.519166881001375,41.342414602914275,88.35221622085048,88.26105971012865,75.5109203532236,50.52853122934057,harmonense
