LTE_LL_7,LTE_EE_7,LTE_SS_7,LTE_LE_7,LTE_ES_7,LTE_LS_7,label
342028.79454609967,1010.990814824731,150.4289029768425,8458.094810286862,378.94237786822424,1883.1252868732429,Eupenicillium crustaceum
347485.98765010334,2027.6342890672277,277.6363977630603,14842.01256123335,700.4256230402823,3109.0388319846384,scabrosum
332846.99269742443,936.4275041554652,120.85472902100324,10202.178379772347,308.2084540583933,1662.9779456849847,percisinum
324563.1307061447,1052.3296455862896,160.59684503707044,8138.210510882877,393.77586062736754,1812.6516027150044,harmonense
390330.5736349666,820.3269967825352,111.09399006480122,7254.609566553203,284.24836656784316,1328.458900957251,paecilomyoforme
308250.1042524615,2762.4542237129367,474.642026224848,16425.859648250756,1118.91050775153,5015.236820486745,flavigenum
361985.2356976058,2209.7651154464843,347.18023220852257,15087.782375796833,842.3313542789144,3734.6039931624036,glandicola
331267.72579622135,2706.91626492015,476.990127707498,15763.13788551094,1096.433449260792,4594.375206057941,tricolor
333251.1608239103,1472.5266011773726,216.26300053652386,8946.46504776533,547.6999436774603,2433.005820387542,mononematosum
377586.93129281426,972.5916370506882,133.56047129367093,8995.142317350867,341.6814913959135,1656.4756133605079,nalgiovense
318536.41028568824,1091.585685767451,129.5107358499977,9013.106719946023,341.167320627927,1796.7767808909557,formosanum
302219.6681830337,1272.0346261892641,213.2979508675495,9846.901686554938,497.43866098762396,2179.329617948172,palitans
352024.6015720363,1911.6189442455347,240.71370614430958,14424.690419596787,630.9625729514444,3064.943089105498,entromorphobium
326846.1179096978,997.5592344584027,115.06928710967253,8600.334465477024,308.1560109628074,1699.5717115517843,formosanum
321173.50782743347,1034.1591193298113,172.8175121974904,7582.838333050538,410.0662381258839,1892.821574700819,melanoconidium
312547.98695445043,1088.9701238179725,176.89183857785795,7506.338869732237,425.4410980324638,1970.8086035282022,melanoconidium
319025.82569455897,2717.2334894669966,417.1858444901687,18449.92789973582,995.6551671135953,4494.8260208766915,formosanum
368526.9193433517,1214.6090024045259,173.48233792954758,10977.227830652137,433.25630255995304,2054.0400143977604,scabrosum
374208.136789904,2135.622567693764,283.1962319423877,15113.405742153025,746.7757200433955,3699.2757437372384,radicicola
345097.9097708845,523.3580697783506,79.42001782395722,6572.0482003134075,191.75893825110307,878.2318437366728,Eupenicillium molle
340000.5489368429,2812.708451216702,415.55137900706643,18594.931445961407,1036.1856692868425,4778.621235287865,spinulosporum
307065.9735200155,2226.7809995732673,250.0158156264674,16712.10396340004,697.2315405551002,3601.524534988575,freii
377603.69810077373,1855.4562817238325,233.09685391653213,17958.98083986363,608.6730420176988,3054.8448699661476,nordicum
397796.1573462161,872.5707220462006,120.5151043393887,7274.245860438827,302.34269933748357,1339.6991569456536,paecilomyoforme
307305.98839297873,2825.7401447538764,473.04827930270955,16712.58800514687,1122.4481649953239,5019.084472122862,flavigenum
375030.4376325838,2445.364795163841,308.95996641656706,18307.81049505049,826.7781718397099,4184.791709619881,lumpii
316235.8001014508,3472.9965054914114,494.39283418035996,20116.646519682392,1272.9078087021016,6132.586915262018,ulaiense
358985.2305720262,2445.482333319712,405.15163554409736,17419.041184393696,952.4948328468072,4316.250079222901,nordicum
298201.05805946275,855.9509296961006,122.09935567935207,6605.275399053508,309.25227925544107,1636.1625368077237,roqueforti
