GLSZM_SmallZoneEmphasis,GLSZM_LargeZoneEmphasis,GLSZM_GrayLevelNonuniformity,GLSZM_ZoneSizeNonuniformity,GLSZM_ZonePercentage,GLSZM_LowGrayLeveLZoneEmphasis,GLSZM_HighGrayLevelZoneEmphasis,GLSZM_SmallZoneLowGrayLevelEmphasis,GLSZM_SmallZoneHighGrayLevelEmphasis,GLSZM_LargeZoneLowGrayLevelEmphassis,GLSZM_LargeZoneHighGrayLevelEmphasis,GLSZM_GrayLevelVariance,GLSZM_ZoneSizeVariance,GLSZM_ZoneSizeEntropy,label
0.2379587951867299,22476905.653485823,0.0062745388726857,0.8568206806450119,139.4992843391179,0.0016081832265725,28502.113540007856,0.0002529865265546,6730.37463997227,118257.14780326348,489612867184.5597,9.112962547960837e-06,2.7816348402912785e-05,-7.985531168058175,flavigenum
0.2306026586969737,27955437.46768139,0.0052619875009641,0.7839435138614633,90.30993421479168,0.0020619310092835,29827.47722013678,0.0002874739121327,6779.185894604593,148095.8528736389,608350792988.8021,7.967524442073722e-06,4.300908408920493e-05,-8.401527053831089,neoechinulatum
0.2360134428228057,23011268.9489742,0.0048469056832322,0.8371102776772237,133.1093267933698,0.0019136600312819,22607.76157608351,0.0002915748394657,5261.663755623384,119586.63774480726,502139246664.3336,5.600576157357495e-06,2.915374193065333e-05,-8.333264126527707,venetum
0.2203758607819208,27931290.856709663,0.0085966315739057,0.6888345255603603,90.4027281659385,0.0023321296580987,22408.46165904302,0.000397904475005,4815.93987056279,140208.14494259123,609545559499.6511,9.143225755008854e-06,4.295028296495846e-05,-8.201548358739188,hirsutum
0.2345626950069796,24852843.166377027,0.0060887854311379,0.823781384764519,114.14149792317848,0.0015060564736924,26909.30133540657,0.0002325806011649,6288.15069266119,129307.6703310639,541902579057.8942,7.766222685203061e-06,3.400627492228277e-05,-8.143956371575133,freii
0.2295797698932775,29756016.1024764,0.0061548117694453,0.7774552974298856,79.7420040034093,0.0028438470217056,35046.83089341907,0.0003859355135303,8001.030764572256,158280.55346737104,646712137876.8632,1.179358961447951e-05,4.8721822612636e-05,-8.292644635804617,entromorphobium
0.2345713738902907,23623411.671289157,0.0050326945643187,0.8242144227434991,126.30884256281908,0.0018313357163317,22165.277957702085,0.0002726366390405,5108.003299546304,122936.41535164903,515555291266.004,5.2316722209491485e-06,3.072550679122522e-05,-8.342236194623142,venetum
0.2354473120339262,23285945.11501296,0.0069635867451357,0.8289861257932037,129.987053560693,0.0019387255674885,32693.011976945985,0.0002928484294546,7646.386971090024,123073.42365653704,506541107349.5028,1.1931285787499278e-05,2.985487124429465e-05,-7.962805779330617,flavigenum
0.2350045984170525,23404858.011176437,0.0071226872724168,0.8229247334141775,128.67764134836867,0.001449522102266,26506.630316342573,0.0002028573007619,6221.576157566862,121532.28729969708,510354397342.4195,8.493928395873088e-06,3.0159834821536705e-05,-7.955917124417112,polonicum
0.2227234766279164,27943807.68874036,0.0060404121040701,0.7068608494524891,90.3377674086509,0.0020429647714648,24953.776401028288,0.0003183391651784,5405.345578878417,137334.4865261459,609436080420.0139,6.10550922015771e-06,4.298464042782696e-05,-8.458422300695988,harmonense
