GLSZM_SmallZoneEmphasis,GLSZM_LargeZoneEmphasis,GLSZM_GrayLevelNonuniformity,GLSZM_ZoneSizeNonuniformity,GLSZM_ZonePercentage,GLSZM_LowGrayLeveLZoneEmphasis,GLSZM_HighGrayLevelZoneEmphasis,GLSZM_SmallZoneLowGrayLevelEmphasis,GLSZM_SmallZoneHighGrayLevelEmphasis,GLSZM_LargeZoneLowGrayLevelEmphassis,GLSZM_LargeZoneHighGrayLevelEmphasis,GLSZM_GrayLevelVariance,GLSZM_ZoneSizeVariance,GLSZM_ZoneSizeEntropy,label
0.23638136972769022,19055467.338696685,0.007137370042014244,0.8416821949648371,107.53137324409013,0.0015673436547138625,19531.68490551325,0.00020540808211621262,4607.515448086804,100600.69029205355,416358032196.6995,7.061653193221365e-06,3.6089022468067215e-05,-7.946033302331962,flavigenum
0.2361145198370531,24295731.351831347,0.005529158751860181,0.8402233166017677,113.95877716651948,0.0015842900968403484,26341.58746194298,0.00019467976960874643,6193.986305354759,128022.70185121906,529595133333.34393,7.143160331368933e-06,3.406231685446497e-05,-8.16440622266101,neoechinulatum
0.23867528394994067,19050403.55347144,0.005042724190776581,0.8709685659443048,113.26682606557851,0.002188225263153281,15033.557438794727,0.0003243218478231345,3609.1537427376834,100895.1897060596,416820653061.90356,3.6776460622868496e-06,3.425914972641971e-05,-8.20098097355652,venetum
0.22237251294623478,49147022.838957414,0.007069869449975108,0.7042111185425786,165.97174078056116,0.001298125880864931,28659.87883476953,0.00018680342476203613,6200.183061516097,250070.86934454803,1070424336607.1395,5.013411110253668e-06,2.3392928447329928e-05,-8.232866583675035,hirsutum
0.22902238492703306,40100660.16268432,0.005873247955260762,0.761965296135382,186.95368033001154,0.0014352628086401168,20993.866036226897,0.00018764349644962566,4766.519978646759,207544.4225236982,875555077093.6929,2.5705528730160797e-06,2.0761404694020692e-05,-8.390523780102537,echinulatum
0.23410984048877803,29442448.80773358,0.005757614304726469,0.816197865921636,151.5842816184808,0.001322660624961575,23731.837262126184,0.0001854088092080687,5514.712531765969,153215.56846899557,642391061695.623,4.746158665033439e-06,2.56033598404374e-05,-8.22784273557535,freii
0.22401763025957575,50205212.5857583,0.009618860418076412,0.7194089290642094,182.70145750647723,0.0011818480123989186,39834.472943136294,0.00014186743949466684,8821.706694952449,259338.0771708015,1090411176694.7157,9.826178277087207e-06,2.1249513939621657e-05,-7.9697218064410675,entromorphobium
0.23934834671026964,16954256.907334466,0.004967055002153269,0.8760208195075914,110.030050054331,0.0021560351428754885,15273.184000425801,0.0003151496172263553,3663.353278094963,89855.96306502972,370896895775.557,4.154006126918514e-06,3.5263994671318825e-05,-8.191357245490611,venetum
0.23761303070226342,17892381.68681305,0.007920258361911658,0.8525400552053828,115.77574205542626,0.0015187751484623442,23117.14804052859,0.00018583197166740552,5487.024522533843,94864.15516449159,390476199212.24457,9.890799893021126e-06,3.351498542821711e-05,-7.766160005515903,flavigenum
0.2168459042925681,79258632.92659055,0.006235495785387013,0.6544163424579615,206.77746540478955,0.001040169813867374,18894.10922533149,0.00013697072225011804,3995.4860608995577,391958.8602958808,1731463636030.5276,1.367500696045069e-06,1.878186040062001e-05,-8.616225162990604,harmonense
0.22550804351506454,24534056.802630927,0.006693502388152511,0.7369250669060338,101.59628459255005,0.0016054201755611526,24365.634996276996,0.00020463335540922426,5533.373200173401,128147.21985258273,535272504769.4654,6.428156028222555e-06,3.82077681857462e-05,-8.344777768764532,freii
0.22467902426676856,30941866.532642066,0.0064744057824975,0.7254698253376404,88.63529014416737,0.0018730037471414215,24582.635475914838,0.0002473571561448921,5528.852244661371,149977.31069794434,675418059767.6648,6.3717102819288214e-06,4.3816176259040236e-05,-8.311540929408086,mononematosum
0.18672137873401343,124195601.3547342,0.012666434566100396,0.4595553185336384,66.60549574816883,0.0022332655147249947,34383.30688418994,0.0003228644150360897,5992.49009969985,632926.2265102799,2698925338540.052,4.618679613999089e-06,5.8355572576768116e-05,-8.750347476663375,Eupenicillium egyptiacum
0.20954186614507236,60379369.572432935,0.014960200788973883,0.5997030373718825,144.71031163552323,0.001191766163065678,39627.641735543184,0.0001597560496594816,8151.38793729256,312414.30385986756,1310934627157.4482,1.1315286396411057e-05,2.683699193053205e-05,-7.829198328901172,nalgiovense
0.21485760742015636,144566450.40254217,0.012383413709038928,0.6356698866611842,254.2432165559114,0.0009466586576847788,16411.092019871994,0.00014153610098737544,3569.8461963235923,674737.0272475474,3162630759996.2007,1.3226329881784549e-06,1.5285253087295672e-05,-8.011061801620574,roqueforti
0.2321697955861983,16646200.40518161,0.005492422163764197,0.8007237819564403,86.80391997787846,0.0019937685386261826,27492.720186939347,0.0002674565133095584,6288.702445866704,87470.77260208101,362707750904.6022,1.005405454454517e-05,4.470928332258322e-05,-8.248201506985636,radicicola
0.23388277131318405,25277510.214685436,0.007342305603903408,0.8092791042042694,145.20791981689965,0.0015478692675095342,23806.397595027407,0.0002209430527554564,5556.132373079875,131680.2708933515,551547098501.9307,7.98670195073169e-06,2.6725278986064613e-05,-7.894279420878231,dipodomyicola
0.2041554035924742,58444914.929980755,0.01647505190762339,0.5726518045607152,65.1492468127239,0.0023412913737119326,23534.993773287657,0.0003152194548674932,4647.382588285307,295712.0300723715,1275265449652.6501,9.440640217887889e-06,5.9640954472903375e-05,-7.906473325309166,Eupenicillium crustaceum
